Y,X
15957.60636,6877.387356
15760.35766,6865.364234
13659.56839,6857.994455
15787.8803,6864.884657
14468.66185,6871.367695
14314.94876,6870.302642
14384.83529,6866.672941
14634.71796,6884.189359
14411.14133,6880.200785
13985.16858,6881.014335
13634.94421,6881.691116
13672.81016,6880.631197
15572.60431,6882.796552
15103.40443,6876.880886
15870.64211,6888.735421
14732.64117,6891.011127
13760.67246,6882.275434
14118.76742,6888.840592
15314.01839,6893.003997
15816.224,6896.398099
13894.27063,6899.700372
15093.43555,6893.416554
14939.96786,6896.083563
13749.56037,6898.794118
13805.66589,6896.357477
14836.38269,6896.450647
16003.50824,6906.376471
14234.01444,6903.219605
14542.93252,6904.200153
14600.39641,6904.897006
14316.89643,6894.725
14583.78049,6894.564024
13770.311,6897.186603
14516.00867,6900.543353
13955.96472,6910.740978
14672.77692,6919.853419
15391.32054,6915.690594
13793.83886,6913.492891
15659.06443,6912.412371
13994.38932,6922.952916
14371.41767,6926.484878
14819.85724,6924.637456
14626.14159,6924.718447
14178.96082,6927.97551
15371.71171,6916.013514
15808.04339,6928.716448
14574.9875,6923.995833
15708,6920
13669.39779,6925.25046
14529.8296,6931.058296
13906.95304,6929.024862
16094.19968,6938.797915
15889.19034,6937.706114
14227.49337,6936.151694
14446.41488,6945.494163
15967.83939,6942.322063
14247.8996,6931.257028
14484.9701,6939.290144
14548.77358,6938.875472
13680.41252,6941.985775
13757.01045,6942.931624
14153.98606,6936.526132
14041.28433,6954.549893
14245.92067,6950.375
13778.87476,6959.153179
15467.681,6959.783319
15571.23296,6956.679873
13996.68031,6954.746589
14505.65188,6968.918771
16079.05439,6963.740586
14682.22519,6964.539122
14544.39578,6960.651715
14642.37789,6973.003613
15010.05034,6973.45363
14871.62815,6961.476891
14306.16071,6977.010204
14570.1708,6970.045455
16054.62997,6963.16208
13756.05972,6977.752443
13835.43018,6967.630631
13975.91045,6970.037313
14125.5894,6967.602649
14473.47262,6976.154762
14735.58566,6980.526394
15990.32564,6975.34339
16109.56255,6980.568127
14111.36111,6970.932099
13878.82775,6967.822967
13891.36392,6977.814873
14405.31387,6970.434307
14094.76362,6986.463918
14210.82043,6972.229102
14271.98596,6983.008024
13990.28881,6973.433213
14426.66923,6973.751282
14842.20648,6983.52037
14881.54194,6979.406452
15192.03125,6975.548295
14194.08191,6976.047782
15254.82143,6986.87987
13957.6676,6980.243017
15904.03899,6985.77193
14821.42739,6977.20332
14966.06933,6994.335084
15688.6649,6997.981711
14414.95114,6985.175896
14555.71705,6987.895349
16138.78255,6999.391276
13875.39336,6987.971564
13683.60842,6989.298947
14233,6988
13921.75,6992.292593
16167.99746,6996.491741
14186.6798,6989.315271
14438.54986,6992.071225
14575.54583,6991.858333
14803.625,6996.519231
14880.44578,7000.343373
14208.2486,6992.804469
14820.23293,6995.831325
14361.51733,6996.517327
15645.60425,7008.51328
14197.79051,7010.195046
16003.83359,7009.589009
13681.2209,7006.232836
13991.58958,7006.726125
13703.21965,7005.888247
15015.35982,7010.665153
16047.51347,7016.436588
16096.56962,7004.71308
14537.92492,7009.23395
14043.4698,7003.328859
15841.19038,7014.554808
14746.09577,7011.543662
14013.62537,7021.750746
14321.38076,7023.184369
16184.63284,7025.637363
14428.71042,7031.237728
16081.43892,7025.689441
14055.87986,7018.243816
14514.66818,7015.413636
14634.69099,7030.195431
14567.04632,7035.550877
14886.18564,7024.229422
13868.34137,7020.37751
14079.9701,7032.336124
15581.08034,7033.073808
15887.42637,7029.273626
14865.35102,7023.420408
